cs	windows-1250	win:	ced	ng:	0.88	ced:	0.93	chardet:	0.53	icu:	0.65
uk	windows-1251	win:	ced	ng:	0.98	ced:	0.98	chardet:	0.69	icu:	0.34
sh	ISO-8859-2	win:	ng	ng:	0.94	ced:	0.77	chardet:	0.44	icu:	0.50
fa	ISO-8859-6	win:	ng	ng:	0.91	ced:	0.33	chardet:	0.00	icu:	0.56
uk	ISO-8859-5	win:	ng	ng:	0.99	ced:	0.89	chardet:	0.97	icu:	0.38
fa	windows-1256	win:	ced	ng:	0.92	ced:	0.98	chardet:	0.00	icu:	0.19
uk	IBM866	win:	ng	ng:	0.99	ced:	0.91	chardet:	0.89	icu:	0.00
ru	ISO-8859-5	win:	ng	ng:	0.99	ced:	0.92	chardet:	0.98	icu:	0.45
ru	windows-1251	win:	ced	ng:	0.98	ced:	0.99	chardet:	0.73	icu:	0.44
ru	KOI8-U	win:	ng	ng:	0.99	ced:	0.97	chardet:	0.98	icu:	0.38
sr	ISO-8859-5	win:	ng	ng:	0.99	ced:	0.95	chardet:	0.99	icu:	0.40
ru	IBM866	win:	ng	ng:	1.00	ced:	0.96	chardet:	0.91	icu:	0.00
Combined	x-user-defined	win:	ng	ng:	0.95	ced:	0.88	chardet:	0.67	icu:	0.41
